選手名,所属,身長[cm],体重[kg],出生日,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,被安打,被本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率,URL
大野　雄大,中日,183,83,1988-09-26,25,9,8,0,0,0,2,2,0,0.529,696,177.2,132,18,43,2,156,2,0,52,51,2.58,http://npb.jp/bis/players/11515133.html
ジョンソン,広島,193,93,1984-10-14,27,11,8,0,0,0,1,1,0,0.579,650,156.2,132,12,58,4,132,3,0,50,45,2.59,http://npb.jp/bis/players/53355130.html
山口　俊,巨人,187,98,1987-07-11,26,15,4,0,0,0,0,0,0,0.789,705,170,137,8,60,13,188,4,0,60,55,2.91,http://npb.jp/bis/players/51855112.html
今永　昇太,DeNA,177,82,1993-09-01,25,13,7,0,0,0,3,3,0,0.650,684,170,128,18,56,4,186,2,0,59,55,2.91,http://npb.jp/bis/players/01305132.html
西　勇輝,阪神,181,80,1990-11-10,26,10,8,0,0,0,1,1,0,0.556,702,172.1,159,12,36,9,112,2,0,60,56,2.92,http://npb.jp/bis/players/71275118.html
青柳　晃洋,阪神,183,84,1993-12-11,25,9,9,0,0,0,1,1,0,0.500,601,143.1,145,14,42,12,100,0,1,56,50,3.14,http://npb.jp/bis/players/71175132.html
大瀬良　大地,広島,187,93,1991-06-17,26,11,9,0,0,0,6,2,3,0.550,712,173.1,176,22,35,4,136,4,0,72,68,3.53,http://npb.jp/bis/players/61365139.html
柳　裕也,中日,180,85,1994-04-22,26,11,7,0,0,0,1,0,0,0.611,703,170.2,165,21,38,3,146,3,0,69,67,3.53,http://npb.jp/bis/players/63165134.html
小川　泰弘,東京ヤクルト,171,80,1990-05-16,26,5,12,0,0,0,2,1,2,0.294,686,159.2,173,26,36,2,132,1,0,91,81,4.57,http://npb.jp/bis/players/11515137.html
髙橋　優貴,読売,178,82,1997-02-01,18,5,7,0,0,0,0,0,0,0.417,395,93,70,14,48,5,89,1,0,34,33,3.19,http://npb.jp/bis/players/61965138.html
東　克樹,横浜DeNA,170,78,1995-11-29,7,4,2,0,0,0,0,0,0,0.667,161,38.1,38,4,10,1,31,1,0,17,16,3.76,http://npb.jp/bis/players/51155136.html
石山　泰稚,東京ヤクルト,182,75,1988-09-01,34,2,2,10,5,7,0,0,0,0.500,137,33,30,2,8,0,31,3,0,12,10,2.73,http://npb.jp/bis/players/21125137.html
山本　由伸,オリックス,178,80,1998-08-17,20,8,6,0,0,0,1,1,0,0.571,553,143,101,8,36,3,127,3,1,37,31,1.95,http://npb.jp/bis/players/53355134.html
有原　航平,北海道日本ハム,189,101,1992-08-11,24,15,8,0,0,0,1,1,1,0.652,639,164.1,111,14,40,9,161,9,0,49,45,2.46,http://npb.jp/bis/players/51155130.html
千賀　滉大,ソフトバンク,186,84,1993-01-30,26,13,8,0,0,0,2,2,0,0.619,752,180.1,134,19,75,8,227,4,1,60,56,2.79,http://npb.jp/bis/players/01005133.html
高橋　礼,ソフトバンク,188,84,1995-11-02,23,12,6,0,0,0,0,0,0,0.667,584,143,114,10,49,11,73,3,1,56,53,3.34,http://npb.jp/bis/players/01005136.html
山岡　泰輔,オリックス,172,68,1995-09-22,26,13,4,0,0,0,2,0,1,0.765,699,170,154,16,45,4,154,2,0,77,70,3.71,http://npb.jp/bis/players/83185134.html
美馬　学,楽天,169,75,1986-09-19,25,8,5,0,0,0,2,0,1,0.615,600,143.2,146,19,24,4,112,3,0,69,64,4.01,http://npb.jp/bis/players/01605133.html
今井　達也,埼玉西武,180,70,1998-05-09,23,7,9,0,0,0,1,1,0,0.438,596,135.1,127,16,72,5,105,7,1,74,65,4.32,http://npb.jp/bis/players/31335134.html
石川　歩,千葉ロッテ,186,80,1988-04-11,27,8,5,0,5,5,0,0,0,0.615,503,118.2,129,9,28,4,81,2,0,50,48,3.64,http://npb.jp/bis/players/41145139.html
髙橋　光成,埼玉西武,190,97,1997-02-03,21,10,6,0,0,0,1,0,0,.625,554,123.2,144,13,47,14,90,7,1,77,62,4.51,http://npb.jp/bis/players/71075130.html
斎藤　佑樹,北海道日本ハム,176,74,1988-06-06,11,0,2,0,0,0,0,0,0,0.000,87,21,19,1,8,0,12,2,0,12,11,4.71,http://npb.jp/bis/players/01905133.html
佐々木　千隼,千葉ロッテ,181,83,1994-06-08,7,2,1,0,0,0,0,0,0,0.667,130,32,26,2,12,1,22,0,0,11,9,2.53,http://npb.jp/bis/players/71975134.html
松井　裕樹,東北楽天,174,74,1995-10-30,68,2,8,38,12,14,0,0,0,0.200,271,69.2,40,5,24,1,107,2,0,17,15,1.94,http://npb.jp/bis/players/81285139.html
